Surah;Ayat;Terjemahan
74;31;"Dan tiada Kami jadikan penjaga neraka itu melainkan dari malaikat: dan tidaklah Kami menjadikan bilangan mereka itu melainkan untuk jadi cobaan bagi orang-orang kafir, supaya orang-orang yang diberi Al-Kitab menjadi yakin dan supaya orang yang beriman bertambah imannya dan supaya orang-orang yang diberi Al Kitab dan orng-orang mukmin itu tidak ragu-ragu dan supaya orang-orang yang di dalam hatinya ada penyakit dan orang-orang kafir (mengatakan): ""Apakah yang dikehendaki Allah dengan bilangan ini sebagai suatu perumpamaan?"" Demikianlah Allah membiarkan sesat orang-orang yang dikehendaki-Nya dan memberi petunjuk kepada siapa yang dikehendaki-Nya. Dan tidak ada yang mengetahui tentara Tuhanmu melainkan Dia sendiri. Dan Saqar itu tiada lain hanyalah peringatan bagi manusia."
77;1;Demi malaikat-malaikat yang diutus untuk membawa kebaikan,
77;2;dan (malaikat-malaikat) yang terbang dengan kencangnya,
77;3;dan (malaikat-malaikat) yang menyebarkan (rahmat Tuhannya) dengan seluas-luasnya,
77;4;dan (malaikat-malaikat) yang membedakan (antara yang hak dan yang bathil) dengan sejelas-jelasnya,
77;5;dan (malaikat-malaikat) yang menyampaikan wahyu,
77;6;untuk menolak alasan-alasan atau memberi peringatan,
78;38;"Pada hari, ketika ruh dan para malaikat berdiri bershaf-shaf, mereka tidak berkata-kata, kecuali siapa yang telah diberi izin kepadanya oleh Tuhan Yang Maha Pemurah; dan ia mengucapkan kata yang benar."
79;1;Demi (malaikat-malaikat) yang mencabut (nyawa) dengan keras,
79;2;dan (malaikat-malaikat) yang mencabut (nyawa) dengan lemah-lembut,
79;3;dan (malaikat-malaikat) yang turun dari langit dengan cepat,
79;4;dan (malaikat-malaikat) yang mendahului dengan kencang,
79;5;dan (malaikat-malaikat) yang mengatur urusan (dunia).
80;16;yang mulia lagi berbakti.
80;15;di tangan para penulis (malaikat),
81;19;sesungguhnya Al Quran itu benar-benar firman (Allah yang dibawa oleh) utusan yang mulia (Jibril),
82;11;yang mulia (di sisi Allah) dan mencatat (pekerjaan-pekerjaanmu itu),
82;10;Padahal sesungguhnya bagi kamu ada (malaikat-malaikat) yang mengawasi (pekerjaanmu),
82;12;mereka mengetahui apa yang kamu kerjakan.
83;21;yang disaksikan oleh malaikat-malaikat yang didekatkan (kepada Allah).
86;4;tidak ada suatu jiwapun (diri) melainkan ada penjaganya.
96;18;kelak Kami akan memanggil malaikat Zabaniyah,
97;4;Pada malam itu turun malaikat-malaikat dan malaikat Jibril dengan izin Tuhannya untuk mengatur segala urusan.
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
